name,boro,zipcode,score,latitude,longitude,nta,review_count,transactions,price,community_by_nta,median_income_by_com,pop_by_nta,distance,cuisine_type,above_avg
tufino pizzeria napoletana,Queens,11105.0,17.0,40.77423968,-73.90805151,QN72,393,"['delivery', 'pickup']",2,Q01,79180.0,47534.0,10525.581130670866,italian_pizza,0
the sea fire grill,Manhattan,10017.0,12.0,40.75493642,-73.97258627,MN19,1281,[],3,M06,154501.0,51231.0,5783.28147646515,american,1
new king house,Queens,11368.0,20.0,40.75167304,-73.85552097,QN26,4,"['pickup', 'delivery']",1,Q03,67201.0,52037.0,12807.457477798655,e_asian,0
ivy,Manhattan,10019.0,12.0,40.7658846,-73.98346601,MN17,403,"['pickup', 'delivery']",2,M05,120248.0,28630.0,6770.938093614333,american,0
latitude bar & grill,Manhattan,10036.0,23.0,40.76080727,-73.98718895,MN15,754,"['delivery', 'pickup']",2,M05,120248.0,45884.0,6196.874612479836,american,0
suzume,Brooklyn,11211.0,26.0,40.71316412,-73.94922902,BK73,305,"['restaurant_reservation', 'delivery', 'pickup']",2,K01,98284.0,45774.0,3876.21491035216,e_asian,0
the thirsty koala,Queens,11105.0,26.0,40.77472879,-73.90874044,QN72,1103,"['delivery', 'pickup']",2,Q01,79180.0,47534.0,10524.807925837084,european,1
keuka kafe a wine bar,Queens,11375.0,13.0,40.71807078,-73.83651429999998,QN17,306,['delivery'],2,Q06,89160.0,83728.0,13345.664090852146,american,1
international wings factory,Manhattan,10128.0,9.0,40.78029443,-73.94686309999999,MN32,449,"['delivery', 'pickup']",2,M08,134264.0,77942.0,9225.237871224512,american,1
tin cup cafe,Brooklyn,11232.0,11.0,40.66138418,-73.99704082,BK32,75,"['pickup', 'delivery']",1,K07,67871.0,54041.0,4905.795372017788,american,1
one thai chef,Manhattan,10036.0,6.0,40.75903718,-73.99003371,MN15,189,"['delivery', 'pickup']",2,M05,120248.0,45884.0,6010.0116958253675,se_asian,0
belli osteria,Brooklyn,11238.0,8.0,40.68343367,-73.96673871,BK69,253,"['pickup', 'delivery']",2,K02,111546.0,34791.0,3357.9993884006158,italian_pizza,0
nepalese indian restaurant,Queens,11385.0,12.0,40.70062451,-73.90400596,QN20,214,"['pickup', 'delivery']",2,Q05,72781.0,69317.0,7649.084823292818,s_asian,0
reichenbach hall,Manhattan,10018.0,7.0,40.75058535,-73.98374413,MN17,758,[],2,M05,120248.0,28630.0,5125.789193272705,european,0
good fortune restaurant,Queens,11355.0,12.0,40.74972051,-73.81814146,QN52,163,[],2,Q07,54933.0,26982.0,15673.371235061253,e_asian,0
kajitsu,Manhattan,10016.0,7.0,40.74967034,-73.97774232,MN20,245,"['delivery', 'pickup']",4,M06,154501.0,50742.0,5132.505924860768,e_asian,0
olympia wine bar,Brooklyn,11201.0,10.0,40.70325772,-73.98664823,BK38,30,[],2,K02,111546.0,34495.0,669.6123065520396,american,0
carrot top pastries,Manhattan,10032.0,9.0,40.83872471,-73.94147475,MN36,195,[],2,M12,53507.0,84438.0,15493.122538790341,bakery_deli_cafe,0
season restaurant,Brooklyn,11229.0,11.0,40.59866096,-73.95798755,BK25,48,[],2,K15,75127.0,44316.0,12260.495827550105,e_asian,0
kashkaval garden,Manhattan,10019.0,12.0,40.76691976,-73.98642243,MN15,576,['delivery'],2,M05,120248.0,45884.0,6852.189127460407,s_european,0
stumptown coffee roasters,Manhattan,10011.0,11.0,40.73274277,-73.9975464,MN23,434,[],2,M02,162092.0,66880.0,3059.568496199233,bakery_deli_cafe,0
planet hollywood,Manhattan,10036.0,9.0,40.75783992,-73.98500932,MN17,392,"['delivery', 'pickup']",2,M05,120248.0,28630.0,5888.49472731555,american,0
gruppo,Manhattan,10009.0,6.0,40.72469365,-73.98149559,MN22,256,"['delivery', 'pickup']",2,M03,41302.0,44136.0,2395.292393078858,italian_pizza,0
harlem shake,Manhattan,10027.0,27.0,40.80728612,-73.94645495,MN11,987,"['delivery', 'pickup']",2,M10,54932.0,43383.0,12001.214149766021,american,0
off the hook raw bar & grill,Queens,11103.0,18.0,40.76710803,-73.91790255,QN70,434,"['delivery', 'pickup']",2,Q01,79180.0,78793.0,9402.552057050028,american,0
village maria,Staten Island,10308.0,11.0,40.55034359,-74.15060183,SI54,67,[],2,S03,108025.0,40720.0,21717.66332057267,italian_pizza,0
